sentence,label,id,index
"""Michael Ritchie's """"The Couch Trip"""" is a wonderfully anarchic comedy about what makes a good psychiatrist. It is so subtle and wicked that you start to realize what a stinging satire it really is. It is also Dan Akyroyd's best movie, made in a particularly great film year (1988)for him. First, """"The Great Outdoors"""" and now this.<br /><br />Akyroyd stars as John Burns, a career crook who fakes insanity to escape prison. Now, a dumb comedy would just be about this. But """"The",1,17,492
An unusual film for an audience outside the USA. Lena Horne looks fabulous and so does Ralph Cooper. There is not added background of tap steps as in other musicals so you do not hear the beat of the taps which is great realism. Music is muted to hear what dancing steps there are. Acting is a little stilted and the casts speak slowly so that you think the movie is older than it is. Costumes are daring for the time in the dance routines at the end. Often feels like you are par,1,18,587
"""Witchy Hildegard Knef traps a group of people in an isolated hotel and picks them off one by one in twisted, disgusting ways. I thought I'd seen it all until one unfortunate man here is crucified and then has his head set on fire. Hildy is quite the prankster too: she takes a nagging harpy and sews her mouth shut...then hangs her upside down in the chimney just in time for a roaring fire! """"Witchery"""" made me sick. It made my eyes hurt. I was ready to write it off as the wor",0,19,604
"""Running Out of Time rests somewhere in the middle of Johnny To's cannon, in the """"solid good"""" category. As a crime thriller it's not terribly original or overwhelming and the action scenes will not blow you away but it has something else going for it. It's a Johnny To film after all, it has to.<br /><br />Andy Lau has 72 hours to live. He decides to play a strange cat-and-mouse game with a hostage negotiator of the HK police, played by Lau Ching Wan. That's the plot in a nu",1,21,701
"I had high hopes for this movie I even gave up a night of watching Stargate for this movie. I found it had a rushed feel about it and a lot of the key biblical moments and facts were missing. I might be a bit jaded and spoiled for the 1956 version, as I have watched that one every year for the last 20 or so years. I doubt this one will make it to the realm of yearly classic, as the other one has. If you have not seen the 19546 version, you might like this one but, I seriously",0,23,773
"As spectacle, it's hard to fault Nihon chinbotsu. The Japanese people have benefited from their intimate relationship with the sea, and the concept of the film implies that an entire world and way of life at risk - thanks to its volcanic heritage. From the standpoint of reality it's rather silly to have a drama wherein the entirety of Japan vanishes under the waves; why just Japan? <br /><br />So, presume instead that we have movie reality, fueled by spectacle (and popcorn), ",1,24,782
"""I am currently 22 years old, and remember seeing this movie in the theatres when it first came out. You heard me right, I was 5 years old, and yet I can still distinctly remember what I saw that afternoon so many years ago. Was it a mystical trip through the fantastic world of Mark Twain's creativity?... No, on the other hand, it was a quite creepy film about Mark Twain's dark, depressed, and in fact suicidal side. One scene that still bothers me was a particularly strange s",0,25,785
"I was surprised as I watched this movie, how much it had 'encaptured' me. No the actors didn't act like typical 'Hollywood' actors, but that's not always bad either, as this film proves. Quite different from the Disney standard, it is a refreshing turn none-the-less! They also give you a taste of what it was probably like without being 'educational'. A movie everyone should both see and enjoy. Many people love arguing over 'accuracies' in any movie of this type, but just gett",1,26,791
"A tender movie that represents how our daily life is a catalyst that causes us to change our thoughts, behaviors and emotions into people we're not. This story is a love story where true emotions arise. I credit Malcolm Jamal Warner (Win) and Challen Cates for outstanding performances . A movie definitely worth seeing, a holiday roadtrip that turns into an emotional turn-a-round. I suggest seeing it.",1,27,890
"I have wanted to say this since I first saw the movie, I still will not allow any of my children or grandchildren to watch this. At least not until I tell them and they understand that it is completely fiction. The only thing that I saw that was correct was that animals went onto the Ark, everything else was false. Lot and Noah fighting on the ocean like a pirate movie. Make sure you tell your kids the real story before you allow them to watch it, but really, until they are o",0,28,895
"This movie is a little slow in the the beginning, for about the first 10 minutes or so. But once it kicks in you can't turn it off. Adam Beach and Rose McGowan play the best parts and are great at their acting job. You would never be able to guess who the killer is. I gave this movie a 9, because at some parts Adam Beach needs to speak up a little so you can hear what he's saying.<br /><br />9/10",1,29,907
"""This movie is full of pseudo deep thoughtfulness and it's cloying in its writerly-ness, that includes a canned ham voice-over and some unbelievable dialogue. Dialogue that is tinny and tone deaf the way Spike sometimes (not always) is when writing """"certain"""" characters. For those that like nonsense films like Pieces of April and One Hour Photo, this is another one for you.<br /><br />That said, this comment is nothing against Ryan Gosling who has shown his awesome chops in ",0,30,908
"""When I saw Lon Chaney, Jr. and Boris Karloff in the cast, I was expecting to find a typically """"schlocky"""" 1950's style horror movie. The opening scene (a graveyard with a wolf howling in the background) seemed to confirm this. Once I began watching it, though, what I discovered was a nifty little mystery about an Englishman (Richard Green) seeking to discover what had happened to two of his friends who had disappeared in the Black Forest and, if necessary, to take revenge a",1,31,921
"Watching this little movie is a sheer delight from start to finish. The story is always entertaining, the tension never loosing up. The whole cast is wonderful. The teaming of Walken and Bracco works to perfection, it is almost like an echo of a classic screwball romance. Bracco is very sexy and really funny as the scam artist who fights for her independence. For some reason they gave Walken a very strange make up and the weirdest haircut I can imagine  it's sort of a parody",1,32,927
"""Artificial melodrama with a screenplay adapted by Mel Dinelli from his play """"The Man"""" concerns a boarding-house proprietress taking in a troubled handyman who may be homicidal. Despite solid work from Ida Lupino and Robert Ryan (both trying their best), this tedious yarn isn't very inventive within its one primary set (which quickly becomes visually dull) and underpopulated cast of characters (there is however a smart pooch who senses the worst!). Hokey and humorless, with",0,33,935
"""Yes, this show had a lot of male frontal nudity and yes, over the years the plot lines became over the top, melodramatic and very unrealistic, however, it didn't matter because the show is great. You really get involved in the characters and every character, no matter how minor or major, is perfectly cast.<br /><br />I can't imagine anyone else except JK Simmons play the neo-Nazi racist rapist leader, nor anyone else playing Tobias Beecher except Lee Tergesen. The transforma",1,34,972
"Storyline drags. Drug smugglers a Beautiful women and a determined cop. Nothing not already done a hundred times before. The boat sceen will be well worth the wait Amsterdam is the perfect city to pull it off. The canals and waterways put you on the edge of your seat. I would say the same as did the car chase in Bullitt, very intense!.",0,35,979
"This is fantastic! Everything from the Score - to when the final credits role. This movie is a Masterpiece. It's genuinely creepy and its effectively hysterical setting is enough to give anyone the creeps. It is apparent that the movie was NOT rushed, and that David Schmoeller (Who would later work with Fullmoon on the Puppet Master Series) had a clear and concise image of what he is trying to direct. The professional aspect of the movie is astonishing considering it's relati",1,36,1000
"""Really, average is the only word that comes to my mind when you see this.<br /><br />The acting was average (maybe a bit above average), the camera usage was average (actually below average. The picture was so shaky and the colors were grainy and blurry.) The plot was a good one but moved at such a slow pace and wasn't put to good use.<br /><br />This could've been so much more if it didn't go at a snail pace and we saw more into the characters backgrounds.<br /><br />All we",0,38,1042
"Went to the premiere at the Tribeca Film Festival in NYC and I absolutely loved the film!!! I am Diane's #1 biggest fan and of course, as always, she gave a magnificent performance!! I have seen every single one of her movies and I must say that this is one of my new favorites. Diane was funny and moving and just took my breath away. Donald Sutherland was surprisingly humorous but also a good amount of serious. Anton Yelchin is just a wonderful young actor and gave an amazing",1,39,1066
"""I really loved this original screenplay and the different places it took me, emotionally, spiritually and just plain silly stuff. I didn't get caught up in """"believability"""" in the screenplay or the actors and didn't even think about it until reading the reviews listed here in IMDb for the movie. Listening to Michael Parness talk at the Q & A about his idea of the film, wanting to see how crazy people, or """"f'ed"""" up people, as he put it, fall in love is really interesting. ",1,41,1076
"""This son of a son of a sequel was terrible to say the least. You would think that production would be better 10 years after the original was released, however Retro Puppet Master was not directed by or written by the original writers and contained poor story, lack of any emmontional connection to any characters, and dragged out slowly scene to scene. No build up of strong plot, very weak climax, you will find yourself slowly getting antsy throughout the movie, if you can sit",0,42,1092
"While I am not a woman, I can enjoy a chick flick if its good. This one however is beyond bad. You have the by the book story, girl is getting divorced, boy with issues shows up. BOOM magic happens and his demons are banished as she realizes her life has a new purpose.<br /><br />Now while I can believe that kind of thing might happen, I am not an idiot. It wouldn't happen over a weekend of geriatric rumpy-pumpy, it would take time. Yet here the producers know they only have ",0,43,1094
I've been hearing a lot of this new bird flu that has killed dozens of people in South East Asia over the last three years . Apparently it's on the thresh hold of mutating into something very contagious and millions upon millions of people are going to be wiped out in a global pandemic . Just thought I'd mention this in case you haven't got round to writing your will yet .<br /><br />I'd also thought I'd mention it since I was watching something called CARRIERS tonight which ,0,44,1101
"This movie starts out with kids telling each other urban legends such as the poodle in the microwave and getting something extra at a chicken place. Unfortunately, it then turns to your basic anthology movie. The first being about a janitor with a bit of a secret. This one is okay at best. Then it gets worse as the next story about this kid obsessed with dead flies is on and it goes on and on and on. It is way to long and not all that interesting to begin with. After that you",0,45,1103
"""as a 'physically challenged' person (god, how i hate that phrase) i just happened to catch this on cable where there was absolutely nothing else to watch - overall, it was a fantastic movie. yes, i was a little disappointed upon finding out that neither actor is disabled, and yes, i was a little disappointed that more of the movie wasn't filmed from the 'true' point of view of the disabled (can you imagine what it's like always being the tallest person in the room and then h",1,46,1107
"After reading the comment made about this movie, and currently watching it, I can understand how the person felt about it. The decisions made were after listening to common sense. When the movie came out, I had heard the information as to how it came about. The storyline was made from an actual event. During an award show, an actor, thanking the li'l people, attributed the award to a former school teacher, unexpectedly outing the person.<br /><br />Of course, many people come",1,47,1130
"""I wouldn't be so sure to accept the DNA tests as irrefutable evidence against Anna Anderson. First, read Peter Kurth's book on which this film is based. Anna Anderson knew things that only the real Grand Duchess Anastasia could possibly have known (forensic evidence in Anna's favor aside). Second, compare the pictures of Anastasia and Anna Anderson. Anyone can see that they are one-and-the-same person. Third, visit Peter Kurth's website (url below) where you can read detaile",1,48,1159
I enjoyed the movie and Kellie Martins performance immensely. It's the kind of movie I can show my family and has an example of a young woman placed in extraordinary circumstances finding the courage to do the right thing in the face of extreme danger.,1,49,1167
"""Not the best of the Lone Star series, but it moves along quickly with good performances. <br /><br />Introduced as """"Singin' Sandy"""" in the main title, John Wayne as a 'singing cowboy' isn't successful-- you never even see a front close-up of him while he's 'singing.' The actual singer is the director's son, Bill Bradley, who warbles away sounding like many popular singers of the day such as Hutch or Joseph Wagstaff. <br /><br />The film features: Cecilia Parker (also seen i",0,50,1170
"I was surprised how much I enjoyed this. Sure it is a bit slow moving in parts, but what else would one expect from Rollin? Also there is plenty of nudity, nothing wrong with that, particularly as it includes lots of the gorgeous, Brigitte Lahaie. There are also some spectacularly eroticised female dead, bit more dodgey, perhaps, but most effective. There is also a sci-fi like storyline with a brief explanation at the end, but I wouldn't bother too much with that. No, here we",1,51,1207
"""I was blown away when I saw """"The Best Years of Our Lives"""". The acting, script, and Master William Wyler's Direction(winner of Best Director in 1946)is Brilliant.<br /><br />This film is about three WWII veterans who come home from the war and are reunited with their loved ones, but have to deal with the hardships of coming home from the war.<br /><br />The first man Al Stephenson(Played by Fredric March in his Oscar winning role) comes home to find his wife Millie(played b",1,52,1231
"""This story of Ted Brice, an American pilot who is the sole survivor of the crash of an Allied reconnaissance plane in Belgium in January of 1944, is pretty much of a mess. The title would lead you to think that it is principally a story about the Belgian armed resistance groups, but that seems to be just a backdrop to prop up a silly love story between Ted and Claire, the woman who takes Ted in. Claire's husband Henri is a committed resistance member, but it is Claire who de",0,53,1270
"Johnny Crawford is great in this movie of a troubled teen coming of age in a generation that was in the middle of a cultural and spiritual upheaval. Billy Graham does a good job of portraying life in this sweet, sometimes corny, but all the way sincere flick. He gives us a look at not only the social scene but gives good, solid advice that holds true today about morals, decisions, the generation gap, teen dating, (some of the statistics that are given in this movie are astoun",1,54,1317
"This movie is extremely funny - the character of momma keeps me returning to the movie time and time again! I can't get enough of her dry lines ... like when she tells her son Owen to bury his friend in the back yard before he smells up the place ... and her suspicion that Owen is trying to kill her by giving her unsalted nuts! It's hilarious!<br /><br />If you like movies such as National Lampoon's Vacation, Uncle Buck, or Planes, Trains & Automobiles, this has similar humor",1,55,1321
"""Zeoy101?? Really, this has to be one of the most stupidest attempts to get people in my age group's attention. It's about some preppy girl named Zeoy and her friends that attends boarding school. BORING!!! All she ever does is whine and complain and acts like a spoiled idiot. I remember this show came out in 2005, I was 13 going on 14, and even then I thought it was pointless. The only episode I EVER liked was when the boys hid a camera in the girls dorm. THAT'S IT. Anyway, ",0,56,1367
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award. Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon. Later episodes in the series (of which there were four in total) were not actually based on original Dr Seuss material, although all but the last continued to use",1,57,1405
"Lame is really the best way to describe this movie. It has a real poor script, uninteresting dialog and characters and it's lacking in basically everything else as well. <br /><br />There are too many characters and problem is that you don't care about any of them. What the movie is lacking is one good and clear main character. Instead now the movie has a bit of everything, it has a bit of an hero, it has a bit of a love interest and it has a bit of villain. I wish it only ha",0,59,1434
"Like the beauty of the jungle, Jessica Alba's gorgeous smile and sultry looks loom over the film, but alas they are the only two things worth watching this film for. When in theory we should be watching for the narrative.<br /><br />The plot is thin on the ground, and hard to believe. As beautiful as Jessica Alba is, she doesn't add any of the spark that she injected into the credible 'Dark Angel' series. Since Dark Angel it seems that Alba has been reduced to mere eye candy(",0,60,1441
"""Sigh. I'm baffled when I see a short like this get attention and assignments and whatnot. I saw this film at a festival before the filmmaker got any attention and forgot about it immediately afterwards. It was mildly annoying to see it swiping the Grinch Who Stole Christmas heart gag along with the narration, the set design seen many times before, the whole weak Tim Burton-ish style, and the story that goes nowhere. And we got the """"joke"""" about shooting the crows with the 4",0,61,1450
"""Some would argue that Argentinean director Esteban Sapir's La Antena is an exercise in anachronistic futility; that, while the silent films to which Sapir's pays homage were at the cutting edge of cinema when they were made, they are outdated today, leaving La Antena a meaningless oddity.<br /><br />I would disagree. Fervently. La Antena melds the conventions of the silent film with 21st century technology, making it the ultimate exercise in post-modern film-making.<br /><br",1,62,1484
"""I caught this flick on the trail end of a tape I had used to capture a movie I truly wanted to wanted to see again. When I saw Raquel Welch's name in the opening credits, I decided to watch it. It was actually mildly entertaining, and took me back """"in the wayback machine"""" to the farcical movies that Hollywood churned out during the sixties, much in the same genre as the current Austin Powers stuff. Oh the acting was not superb, nor was the plot, but it was worth watching. ",1,63,1489
"Dogtown and Z-Boys is a documentary about the Zephyr Skateboarding Team, and their influence on skateboarding. It also focuses on the history of skateboarding. It was directed by Stacy Peralta, a member of the original Zephyr Team, and was written by Stacy Peralta and Craig Stecyk, another member of the team. The documentary stars the members of the Zephyr Team and is narrated by Sean Penn.<br /><br />The documentary talks about the beginning of skateboarding, and how it evol",1,64,1524
"Lackawanna Blues is a drama through and through. It details the life of a strong woman by the name of Rachel Crosby (S. Epatha Merkerson). Rachel is referred to as Nanny by all who know her, but she could have just as easily been called Wonder Woman. She epitomized strength, will power, confidence and resolve. She owned a home that she used to house just about every type of person that society would reject. Her tenants consisted of a lesbian, a psychotic war veteran, an amput",1,65,1575
"""This film is a great disappointment. Director Vicente Aranda has provided many interesting films throughout his long career, some of them were highlighted by strong and powerful performances by Spanish actress Victoria Abril. In JUANA LA LOCA, he relies on a gifted actress as well , newcomer Pilar Lopez de Ayala, but this is barely the sole positive element in an otherwise terrible mess of a movie. While Lopez de Ayala tries hard to portray Juana as a romantic and passionate",0,66,1610
"""Having just got the """"Loony Tunes Golden Collection""""(which i HIGHLY recommend, by the way), I'm going to try to comment on most if not all of the cartoons individually. As such the starting statement might seem redundant for those whom read multiple reviews of them, for this i apologize.<br /><br />Rabbit Seasoning is the middle short in a trilogy of like-minded shorts (the other two being """"Rabbit Fire"""" and """"Duck! Rabbit, Duck). Bags and Daffy argue about who Elmer Fudd ",1,67,1625
"It is easy to tell early in this movie exactly what will happen, and who will die. It is about 4 women and a man who on a vacation. This was made during the end of the ultra Nazi seventies, when blonde women were supposedly ultra American survivors and brunettes were all deserving of death.<br /><br />This movie, like the others of that era, contrives to bring this about, and the viewer knows this. There is no mystery or suspense. The people squabble, but everything is so pre",0,68,1642
"I know that so many reviews on IMDb are extreme, with reviewers either praising a film to the hilt or inarticulately tearing it to pieces. I find neither of these kind of reviews helpful, and so I do not give this film the awful review I am about to, lightly. The film is art-house science-fiction of the worst kind dressed up as a Hollywood blockbuster. The trailers draw you in by showing you what appears to be a cohesive plot, but is actually just a tiny part of a wilfully ba",0,69,1651
"From a perspective that it is possible to make movies that are not offensive to people with strong moral values, this one is definitely worthwhile. This is the second Bruce Willis film in a row that manages to tell its story with no nudity, off-color humor, profanity, or gratuitous violence. (I refer of course to The Sixth Sense.) Both movies are engaging on more than one level. This one is appropriate for children as well, although as others have pointed out, it isn't a flic",1,70,1658
"This movie's one redeemable quality (besides Ator's barely-there loincloth) is the hilarious acting on the part of the bad guy, Zor. This wonderfully overplayed villain has a certain...oh, Shakespearean presence that made this movie bearable (hence the 2). I just giggled every time he pirouetted, lifting an incredulous eyebrow to henchman or hero. A true example of someone not getting paid enough. (And that BEARD!)<br /><br />Now really, what was with the 12-minute hang-glide",0,71,1670
"There's something strange about the antisocial sentiment you can find in some Cheech And Chong material. One of the songs in Up In Smoke, well, I often wish more songs these days began that way. But in this excuse for a video, the stoner duo are showing us the videos for four songs from their album of the moment, also titled Get Out Of My Room. You hear a voice-over during the opening credits in which some anonymous producer describes the record as being a novelty recording t",0,72,1791
"I thought this movie was going to be a disgrace to the series. After all, part 3 didn't measure up to part 2, and this one doesn't have Daniel Sawn. Miyagi's humour wasn't quite as witty in this one as in part 3, but it was funny enough to make the movie worth watching.<br /><br />The girl's part was pretty good. She's a lost teenager who needs direction. I find the plot a little hard to believe. That the aunt would simply agree to leave her home and her niece under the care ",0,73,1795
"Well to start with Rajkumar Santoshi is not a comedy film maker ,and this is really unfortunate because the only comedy film he has made is a masterpiece.This film is really funny .Loud in bits ,overacted in a few scenes but still the dialogues r really laugh riots and characters r really full of fun . Story line in simple a Billionaire's daughter come to India for marriage and Two young chaps r behind her ,the story has a twist as well with a connection of a Gangster .Aamir ",1,74,1850
"""Sayles had a very interesting film on his hands with Silver City, however it somehow became very muddied as it progressed from beginning to end. Chris Cooper did an exceptional job embodying the essence of his character, a Dubya of sorts, but he wasn't nearly given enough screen time. Instead, we find ourselves on a rampage with a character that felt less personal, less developed, and overall too confusing. The path that this Danny Huston leads us on inevitably becomes the d",0,75,1914
"Peter O'Toole, one of our finest actors, is magnificent as a reserved school master who is dedicated to teaching young boys. He meets a show girl and falls in love. The story is one of love and devotion. Petula Clark adds spirit and sensitivity, not too mention a remarkable voice. You will enjoy this film even though the ending might not be a happy one. I enjoyed it.",1,76,1953
"""Best fan boy movie I've ever watched save """"Free Enterprise.""""<br /><br />In some ways it reminded me of an early Kevin Smith film.<br /><br />If you do any kind of role playing, this movie will likely have you laughing often at its insatiable fun. Don't expect a big budget here, the acting is also questionable at times, but it really adds to the fun of the atmosphere they create. The script is truly humorous with a lot of witty moments worth experiencing.<br /><br />The bar",1,77,2067
"This is probably the best movie filmed in at least the last five years. I've always believed that making people cry is far more difficult than making them laugh. If you want to see 400 adults crying out loud in the same room, go see this movie. It's breathtaking. Javier Bardem performs the role of his life. You will cry, you will laugh, you will smile... The most deserving fact is that in Spain everybody knows about Ramon Sampedro. Personally I knew the full story and even th",1,78,2108
"This is an absolutely true and faithful adaptation of 'The Hollow'. It could be argued that the actual mystery here is not one Christie's best but what makes 'The Hollow' special is the characterisation and I found the actors here, more or less without exception, were perfect in their parts. In such a uniformly good cast it's difficult to select stand out performances but I have to say that Sarah Miles is just perfect as Lucy Angkatell. What is extraordinary is that she not o",1,79,2166
"""This frothy romantic comedy is based on the kind of story I loved as a teenager, but now find rather distasteful. In the case of May-September attachments, doubtless what is on the mind of the elder party is either lust, or an inability to face the reality of aging, or both. And the younger is most likely looking for the kind parent that she (or he) lacked as a child. These underlying agendas seem more pathetic than romantic to me now; there is also something rather predator",0,80,2177
"""All right, I'll grant you that some of the science in """"Doppelganger"""" (or """"Journey To The Far Side Of The Sun"""") is kind of dopey.The idea of an entire planet existing undetected (because we can't see it on the other side of our sun) doesn't hold up at all - any Astronomy 101 student knows that another planet the size of Earth would cause gravitational perturbances in the motions of other planets. That's how astronomers deduced the existence of Pluto, after all, and that's",1,81,2218
"""Cameron Diaz, James Marsden, Frank Langella: that's an all-star power cast but """"The Box"""" proves once again that it is not a guarantee for a solid movie. The premise sounds promising: a couple gets a visit from a mysterious person who offers them a million dollar. The downside is that someone will die, a person they probably will not know. So What Do You Do ? This gives us an interesting story for about 30 minutes. After that, the story derails completely. Vague an uninspir",0,82,2235
"""I, too, found """"Oppenheimer"""" to be a brilliant series and one of the finest offerings ever on American PBS. David Suchet was particularly effective as Edward Teller, as I recall, and the overall conception was spectacularly good. The only reason that the series doesn't rate a full 10/10 is for the low-budget production values in some areas. Actual content is absolutely first-rate in my recollection.<br /><br />The Oppenheimer miniseries will be released in the UK on July 31",1,83,2271
"""Flash Gordon was a first rate serial. I know there were a few goofs, however, i didn't watch it for the flaws. Buster Crabbe is Flash Gordon. He was not a trained actor but he gave a very good, convincing performance. Jean Rogers is pretty and at 20 yrs. old did, in my opinion, a pretty good job. Charles Middleton as Emperor Ming, is superb. He was in a lot of other movies, quite versatile, he could sing and dance. His portrayal of """"Ming The Merciless"""", in all 3 Flash Gord",1,84,2289
"""I was fortunate enough to be an extra in this movie when I was about 13 during the roller rink scenes. My junior high school drama class was invited to participate. It was a fantastic experience.<br /><br />Gary Busey, Charles Martin Smith and Don Stroud played the music live, all day! As a musician, I can appreciate the tireless work and dedication these guys put in to their roles. They must have played those songs 20 times. It's very difficult to maintain consistency and e",1,85,2296
"""I used to think that """"It Came from Hollywood"""" was the worst movie I had seen that showed clips from horror, sci-fi, crime and drama movies. Of course, I hadn't seen THIS beauty yet.<br /><br />What's wrong with """"Terror in the Aisles""""? Four things:<br /><br />1) It assumes that most of the great moments in shock cinema history began in the '70s when directors like John Carpenter and Brian De Palma came along. And what bones are thrown to the true classics (i.e. - the blac",0,86,2419
"""""""Embarassing"""" is the only word to describe this laughingly awful production. From the blatant disregard of the source material (sure to infuriate anyone remotely familiar with mythology) to the predictably insufficient production value, this entire mini-series is a train wreck.<br /><br />The cast (which includes some good actors, whom I pity) delivers the illogical dialogue in the same generic """"European"""" accent so common to bad epics. Worse is the lack of originality in",0,87,2449
"""I will keep it to bullet points so here goes: 1. Very badly scripted. 2. Tries to be like Resident Evil. 3. Zombies slow and docile one minute the next minute Raging lunatics. 4. Never saw blood clean up so easily! 5. Special effects not as good as the original """"day of the living dead"""". 6. Acting not as good as the """"Bold and the beautiful"""". 7. It looks like it was written in 1 week and made the next week.<br /><br />Basicaly Med team plus Special Forces go into a Zombie ",0,88,2488
"A remake of a successful movie can be a tricky business at best; to remake a true classic, especially one that is veritably the definitive film of a director like Alfred Hitchcock, is something else again. And after watching this version of `Psycho,' directed by Gus Van Sant, two things come to mind immediately: What's the point, and what on earth were they thinking? Especially in light of the fact that Van Sant used the same screenplay (by Joseph Stefano, taken from the nove",0,89,2507
"Guy Pearce almost looks like Flynn, and this resemblance is the only one this film can claim. Nowhere in Flynn's autobiography is the Klaus Reicher character mention, the homosexual encounter is speculative fiction, and the movie's claims that Flynn treated native labor badly are groundless. Director Frank Howson hasn't made any memorable films, and I find it lame for him to groundlessly slander Flynn to further his unremarkable career.<br /><br />",0,90,2543
I knew this was headed for disaster after looking at the clock within 7 minutes of air time. The story line: Two people get married. They move into the wife's parents home. And husband doesn't get along with father-in-law-and if you haven't seen this plot before you probably have not watched TV for the last 15 years or so.,0,92,2594
